:START_ID,:TYPE,:END_ID,wikiID
Q12639,subclassOf,Q34379,P279
Q391414,subclassOf,Q618123,P279
Q190403,subclassOf,Q1642862,P279
Q81103,subclassOf,Q1246258,P279
Q57815212,subclassOf,Q622852,P279
Q1515493,subclassOf,Q1301433,P279
Q207822,subclassOf,Q268592,P279
Q728,subclassOf,Q18643213,P279
Q66310125,subclassOf,Q22811462,P279
Q1310239,subclassOf,Q337060,P279
Q42889,subclassOf,Q3245975,P279
Q81799,subclassOf,Q2095,P279
Q26401003,subclassOf,Q795052,P279
Q28921572,subclassOf,Q35758,P279
Q522648,subclassOf,Q2998482,P279
Q19603939,subclassOf,Q811430,P279
Q6607,subclassOf,Q57306162,P279
Q14745,subclassOf,Q31807746,P279
Q2904042,subclassOf,Q6671777,P279
Q16896124,subclassOf,Q28367692,P279
Q1105339,subclassOf,Q1521410,P279
Q32050,subclassOf,Q185785,P279
Q4026292,subclassOf,Q1190554,P279
Q8148,subclassOf,Q1914636,P279
Q1914636,subclassOf,Q20937557,P279
Q17537576,subclassOf,Q15621286,P279
Q43229,subclassOf,Q24229398,P279
Q1567371,subclassOf,Q581105,P279
Q596566,subclassOf,Q16869178,P279
Q1371954,subclassOf,Q987767,P279
Q1395006,subclassOf,Q188075,P279
Q811979,subclassOf,Q4406616,P279
Q729897,instanceOf,Q16521,P31
Q623270,subclassOf,Q2827268,P279
Q1554231,subclassOf,Q31464082,P279
Q3769299,subclassOf,Q9332,P279
Q2221906,subclassOf,Q17334923,P279
Q82794,subclassOf,Q2221906,P279
Q30178,instanceOf,Q55983715,P31
Q35145743,subclassOf,Q618123,P279
Q41291,subclassOf,Q7194062,P279
Q82604,subclassOf,Q3249551,P279
Q3391431,subclassOf,Q2827268,P279
Q26907166,subclassOf,Q58415929,P279
Q386724,subclassOf,Q16686448,P279
Q230823,subclassOf,Q2160801,P279
Q581105,subclassOf,Q2858615,P279
Q20937557,subclassOf,Q16887380,P279
Q7386,subclassOf,Q1390,P279
Q1522115,subclassOf,Q1554231,P279
Q19478619,instanceOf,Q19868531,P31
Q130901,subclassOf,Q203066,P279
Q960648,subclassOf,Q2221906,P279
Q16391167,subclassOf,Q42889,P279
Q33972,subclassOf,Q1183543,P279
Q838312,subclassOf,Q2002016,P279
Q2912517,subclassOf,Q246672,P279
Q945148,subclassOf,Q49005,P279
Q25519785,subclassOf,Q728,P279
Q1360,subclassOf,Q43806,P279
Q1293220,subclassOf,Q16722960,P279
Q839546,subclassOf,Q66310125,P279
Q3245975,subclassOf,Q2424752,P279
Q2095,subclassOf,Q1194058,P279
Q59095968,subclassOf,Q631931,P279
Q57812559,subclassOf,Q26401003,P279
Q26037047,subclassOf,Q39546,P279
Q57814795,subclassOf,Q622852,P279
Q37755,subclassOf,Q39253,P279
Q3314483,subclassOf,Q29043258,P279
Q101401,subclassOf,Q55721729,P279
Q268547,subclassOf,Q468402,P279
Q391414,subclassOf,Q3955017,P279
Q25324,subclassOf,Q25306,P279
Q945148,instanceOf,Q2264369,P31
Q5936788,subclassOf,Q1507442,P279
Q29149,subclassOf,Q144,P279
Q729,subclassOf,Q7239,P279
Q9479,subclassOf,Q10872571,P279
Q748611,subclassOf,Q2095,P279
